ensg.temp	genes.temp
ENSG00000128655.12	PDE11A
ENSG00000079156.12	OSBPL6
ENSG00000079150.13	FKBP7
ENSG00000163492.9	CCDC141
ENSG00000187231.9	SESTD1
ENSG00000144331.14	ZNF385B
ENSG00000188452.9	CERKL
ENSG00000138434.12	SSFA2
ENSG00000150722.6	PPP1R1C
ENSG00000162998.4	FRZB
ENSG00000061676.10	NCKAP1
ENSG00000163002.8	NUP35
ENSG00000170396.6	ZNF804A
ENSG00000138448.7	ITGAV
ENSG00000144369.8	FAM171B
ENSG00000163012.3	ZSWIM2
ENSG00000144366.11	GULP1
ENSG00000115368.5	WDR75
ENSG00000138381.5	ASNSD1
ENSG00000128694.7	OSGEPL1
ENSG00000128699.9	ORMDL1
ENSG00000198130.10	HIBCH
ENSG00000151689.8	INPP1
ENSG00000151690.10	MFSD6
ENSG00000189362.7	TMEM194B
ENSG00000115419.8	GLS
ENSG00000115415.14	STAT1
ENSG00000138378.13	STAT4
ENSG00000168497.4	SDPR
ENSG00000144339.7	TMEFF2
ENSG00000118997.9	DNAH7
ENSG00000081320.6	STK17B
ENSG00000119041.6	GTF3C3
ENSG00000065413.12	ANKRD44
ENSG00000115540.10	MOB4
ENSG00000162944.6	RFTN2
ENSG00000247626.3	MARS2
ENSG00000226124.2	FTCDNL1
ENSG00000178074.5	C2orf69
ENSG00000240344.4	PPIL3
ENSG00000115942.4	ORC2
ENSG00000119013.4	NDUFB3
ENSG00000064012.17	CASP8
ENSG00000155749.8	ALS2CR12
ENSG00000155754.10	ALS2CR11
ENSG00000003393.10	ALS2
ENSG00000163596.12	ICA1L
ENSG00000138380.13	CARF
ENSG00000144426.14	NBEAL1
ENSG00000119004.10	CYP20A1
ENSG00000163600.8	ICOS
ENSG00000116117.13	PARD3B
ENSG00000023228.9	NDUFS1
ENSG00000204186.3	ZDBF2
ENSG00000138400.8	MDH1B
ENSG00000144410.4	CPO
ENSG00000138413.9	IDH1
ENSG00000115020.12	PIKFYVE
ENSG00000144407.5	PTH2R
ENSG00000078018.15	MAP2
ENSG00000197713.10	RPE
ENSG00000021826.10	CPS1
ENSG00000178568.9	ERBB4
ENSG00000138376.6	BARD1
ENSG00000138363.10	ATIC
ENSG00000118242.11	MREG
ENSG00000079246.11	XRCC5
ENSG00000138375.8	SMARCAL1
ENSG00000115461.4	IGFBP5
ENSG00000231672.2	DIRC3
ENSG00000163466.11	ARPC2
ENSG00000179921.10	GPBAR1
ENSG00000127838.9	PNKD
ENSG00000135926.8	TMBIM1
ENSG00000158428.3	C2orf62
ENSG00000135913.6	USP37
ENSG00000074582.8	BCS1L
ENSG00000163482.7	STK36
ENSG00000135912.6	TTLL4
ENSG00000135929.4	CYP27A1
ENSG00000144567.6	FAM134A
ENSG00000158552.8	ZFAND2B
ENSG00000163521.11	GLB1L
ENSG00000115661.9	STK16
ENSG00000123992.14	DNPEP
ENSG00000124019.9	FAM124B
ENSG00000169047.5	IRS1
ENSG00000081052.10	COL4A4
ENSG00000169031.14	COL4A3
ENSG00000168958.15	MFF
ENSG00000135917.9	SLC19A3
ENSG00000115009.7	CCL20
ENSG00000153832.7	FBXO36
ENSG00000135899.12	SP110
ENSG00000185404.12	SP140L
ENSG00000135932.6	CAB39
ENSG00000204128.5	C2orf72
ENSG00000135914.5	HTR2B
ENSG00000135931.13	ARMC9
ENSG00000115053.11	NCL
ENSG00000171596.6	NMUR1
ENSG00000144535.15	DIS3L2
ENSG00000221944.3	TIGD1
ENSG00000182600.5	C2orf82
ENSG00000066248.10	NGEF
ENSG00000168918.9	INPP5D
ENSG00000085978.17	ATG16L1
ENSG00000085982.9	USP40
ENSG00000185038.10	MROH2A
ENSG00000188042.5	ARL4C
ENSG00000144476.5	ACKR3
ENSG00000224132.2	AC112715.2
ENSG00000163359.11	COL6A3
ENSG00000115648.9	MLPH
ENSG00000124831.14	LRRFIP1
ENSG00000177483.7	RBM44
ENSG00000132329.6	RAMP1
ENSG00000184182.14	UBE2F
ENSG00000132330.12	SCLY
ENSG00000144488.10	ESPNL
ENSG00000168427.7	KLHL30
ENSG00000186235.6	AC016757.3
ENSG00000204104.7	TRAF3IP1
ENSG00000222020.2	AC062017.1
ENSG00000130414.7	NDUFA10
ENSG00000182083.6	OR6B2
ENSG00000063660.4	GPC1
ENSG00000188542.5	DUSP28
ENSG00000142327.7	RNPEPL1
ENSG00000144504.11	ANKMY1
ENSG00000142330.15	CAPN10
ENSG00000178623.7	GPR35
ENSG00000130294.10	KIF1A
ENSG00000172478.13	C2orf54
ENSG00000122085.12	MTERFD2
ENSG00000115687.9	PASK
ENSG00000115685.10	PPP1R7
ENSG00000146205.9	ANO7
ENSG00000168385.13	SEPT2
ENSG00000115677.12	HDLBP
ENSG00000006607.9	FARP2
ENSG00000176720.3	BOK
ENSG00000168397.12	ATG4B
ENSG00000168393.8	DTYMK
ENSG00000168395.10	ING5
ENSG00000180902.12	D2HGDH
ENSG00000154252.11	GAL3ST2
ENSG00000204099.7	NEU4
ENSG00000188389.6	PDCD1
ENSG00000188011.5	CXXC11
ENSG00000216921.3	AC131097.4
ENSG00000134115.8	CNTN6
ENSG00000091181.15	IL5RA
ENSG00000072756.12	TRNT1
ENSG00000113851.9	CRBN
ENSG00000144455.9	SUMF1
ENSG00000134108.8	ARL8B
ENSG00000134109.6	EDEM1
ENSG00000182533.6	CAV3
ENSG00000070950.5	RAD18
ENSG00000196220.11	SRGAP3
ENSG00000134077.11	THUMPD3
ENSG00000156983.11	BRPF1
ENSG00000134072.6	CAMK1
ENSG00000171148.9	TADA3
ENSG00000156990.10	RPUSD3
ENSG00000187288.6	CIDEC
ENSG00000171135.10	JAGN1
ENSG00000163701.14	IL17RE
ENSG00000163703.13	CRELD1
ENSG00000144554.6	FANCD2
ENSG00000157014.6	TATDN2
ENSG00000157087.12	ATP2B2
ENSG00000157103.6	SLC6A1
ENSG00000197548.8	ATG7
ENSG00000144559.6	TAMM41
ENSG00000075975.11	MKRN2
ENSG00000132155.7	RAF1
ENSG00000144711.9	IQSEC1
ENSG00000163520.9	FBLN2
ENSG00000131389.12	SLC6A6
ENSG00000131375.5	CAPN7
ENSG00000206562.7	METTL6
ENSG00000206561.8	COLQ
ENSG00000131373.10	HACL1
ENSG00000169814.8	BTD
ENSG00000206560.6	ANKRD28
ENSG00000154813.5	DPH3
ENSG00000154822.11	PLCL2
ENSG00000182568.12	SATB1
ENSG00000163576.13	EFHB
ENSG00000183977.9	PP2D1
ENSG00000174738.8	NR1D2
ENSG00000163508.8	EOMES
ENSG00000163512.9	AZI2
ENSG00000144645.9	OSBPL10
ENSG00000144635.4	DYNC1LI1
ENSG00000183813.6	CCR4
ENSG00000170275.10	CRTAP
ENSG00000170248.9	PDCD6IP
ENSG00000163673.6	DCLK3
ENSG00000168016.9	TRANK1
ENSG00000076242.10	MLH1
ENSG00000093167.13	LRRFIP2
ENSG00000144677.10	CTDSPL
ENSG00000187091.9	PLCD1
ENSG00000008226.15	DLEC1
ENSG00000060971.13	ACAA1
ENSG00000168356.7	SCN11A
ENSG00000114742.9	WDR48
ENSG00000114745.9	GORASP1
ENSG00000168026.12	TTC21A
ENSG00000168028.9	RPSA
ENSG00000168314.13	MOBP
ENSG00000168032.4	ENTPD3
ENSG00000188846.9	RPL14
ENSG00000168038.6	ULK4
ENSG00000182606.10	TRAK1
ENSG00000008324.6	SS18L2
ENSG00000114857.13	NKTR
ENSG00000093183.9	SEC22C
ENSG00000114853.9	ZBTB47
ENSG00000010282.10	HHATL
ENSG00000244607.1	CCDC13
ENSG00000180432.4	CYP8B1
ENSG00000144649.4	FAM198A
ENSG00000163788.9	SNRK
ENSG00000179152.14	TCAIM
ENSG00000196345.8	ZKSCAN7
ENSG00000144792.5	ZNF660
ENSG00000186448.10	ZNF197
ENSG00000196653.7	ZNF502
ENSG00000186446.7	ZNF501
ENSG00000163807.4	KIAA1143
ENSG00000163814.3	CDCP1
ENSG00000011376.5	LARS2
ENSG00000144791.5	LIMD1
ENSG00000211456.6	SACM1L
ENSG00000163817.11	SLC6A20
ENSG00000172215.5	CXCR6
ENSG00000163820.10	FYCO1
ENSG00000012223.8	LTF
ENSG00000241186.3	TDGF1
ENSG00000163827.8	LRRC2
ENSG00000261603.1	PRSS46
ENSG00000188086.8	PRSS45
ENSG00000206549.8	PRSS50
ENSG00000160796.12	NBEAL2
ENSG00000088727.8	KIF9
ENSG00000114648.7	KLHL18
ENSG00000114650.14	SCAP
ENSG00000163832.11	ELP6
ENSG00000173473.6	SMARCC1
ENSG00000132153.10	DHX30
ENSG00000164045.7	CDC25A
ENSG00000164048.9	ZNF589
ENSG00000172113.4	NME6
ENSG00000164053.13	ATRIP
ENSG00000213689.5	TREX1
ENSG00000145040.3	UCN2
ENSG00000114270.11	COL7A1
ENSG00000225697.6	SLC26A6
ENSG00000008300.10	CELSR3
ENSG00000213672.3	NCKIPSD
ENSG00000068745.10	IP6K2
ENSG00000114302.11	PRKAR2A
ENSG00000177479.15	ARIH2
ENSG00000178467.13	P4HTM
ENSG00000178252.13	WDR6
ENSG00000178149.12	DALRD3
ENSG00000198218.6	QRICH1
ENSG00000172046.14	USP19
ENSG00000185909.10	KLHDC8B
ENSG00000173421.12	CCDC36
ENSG00000145022.4	TCTA
ENSG00000145020.10	AMT
ENSG00000145029.7	NICN1
ENSG00000164062.8	APEH
ENSG00000173531.11	MST1
ENSG00000164068.11	RNF123
ENSG00000176020.7	AMIGO3
ENSG00000173540.8	GMPPB
ENSG00000176095.7	IP6K1
ENSG00000164078.8	MST1R
ENSG00000004534.10	RBM6
ENSG00000001617.7	SEMA3F
ENSG00000186792.11	HYAL3
ENSG00000114378.12	HYAL1
ENSG00000068028.13	RASSF1
ENSG00000088538.12	DOCK3
ENSG00000145050.11	MANF
ENSG00000179837.6	RBM15B
ENSG00000164080.9	RAD54L2
ENSG00000164081.8	TEX264
ENSG00000164082.10	GRM2
ENSG00000041880.10	PARP3
ENSG00000248487.4	ABHD14A
ENSG00000114779.15	ABHD14B
ENSG00000243989.3	ACY1
ENSG00000162244.6	RPL29
ENSG00000023330.10	ALAS1
ENSG00000239732.2	TLR9
ENSG00000247596.4	TWF2
ENSG00000164088.13	PPM1M
ENSG00000114841.13	DNAH1
ENSG00000168268.6	NT5DC2
ENSG00000163938.12	GNL3
ENSG00000114904.8	NEK4
ENSG00000055955.11	ITIH4
ENSG00000272573.1	MUSTN1
ENSG00000213533.7	TMEM110
ENSG00000163935.9	SFMBT1
ENSG00000163933.5	RFT1
ENSG00000162290.12	DCP1A
ENSG00000016391.6	CHDH
ENSG00000056736.5	IL17RB
ENSG00000113812.9	ACTR8
ENSG00000113811.6	SELK
ENSG00000157445.10	CACNA2D3
ENSG00000180376.12	CCDC66
ENSG00000163946.9	FAM208A
ENSG00000163687.9	DNASE1L3
ENSG00000163684.7	RPP14
ENSG00000168297.11	PXK
ENSG00000168291.8	PDHB
ENSG00000168306.8	ACOX2
ENSG00000168309.12	FAM107A
ENSG00000198643.2	FAM3D
ENSG00000114405.6	C3orf14
ENSG00000163618.13	CADPS
ENSG00000163634.7	THOC7
ENSG00000163638.9	ADAMTS9
ENSG00000144741.13	SLC25A26
ENSG00000163376.7	KBTBD8
ENSG00000172340.10	SUCLG2
ENSG00000144746.6	ARL6IP5
ENSG00000114541.10	FRMD4B
ENSG00000170837.2	GPR27
ENSG00000144736.9	SHQ1
ENSG00000172986.8	GXYLT2
ENSG00000227124.4	ZNF717
ENSG00000114480.8	GBE1
ENSG00000175161.9	CADM2
ENSG00000083937.4	CHMP2B
ENSG00000163320.6	CGGBP1
ENSG00000179021.5	C3orf38
ENSG00000184500.10	PROS1
ENSG00000178750.2	STX19
ENSG00000080200.5	CRYBG3
ENSG00000064225.8	ST3GAL6
ENSG00000057019.11	DCBLD2
ENSG00000144810.11	COL8A1
ENSG00000114021.7	NIT2
ENSG00000206535.3	LNP1
ENSG00000181458.6	TMEM45A
ENSG00000114354.8	TFG
ENSG00000154175.12	ABI3BP
ENSG00000138468.11	SENP7
ENSG00000144815.10	NXPE3
ENSG00000144802.7	NFKBIZ
ENSG00000114423.14	CBLB
ENSG00000114439.14	BBX
ENSG00000196776.10	CD47
ENSG00000144821.5	MYH15
ENSG00000198919.8	DZIP3
ENSG00000163519.9	TRAT1
ENSG00000206532.2	RP11-553A10.1
ENSG00000144834.8	TAGLN3
ENSG00000138459.4	SLC35A5
ENSG00000091986.11	CCDC80
ENSG00000163606.6	CD200R1
ENSG00000163607.10	GTPBP8
ENSG00000163608.10	C3orf17
ENSG00000144857.10	BOC
ENSG00000206530.4	WDR52
ENSG00000163611.7	SPICE1
ENSG00000178075.15	GRAMD1C
ENSG00000181847.7	TIGIT
ENSG00000181722.11	ZBTB20
ENSG00000185565.7	LSAMP
ENSG00000144847.8	IGSF11
ENSG00000121578.8	B4GALT4
ENSG00000176142.8	TMEM39A
ENSG00000163389.6	POGLUT1
ENSG00000113845.5	TIMMDC1
ENSG00000121594.7	CD80
ENSG00000144843.7	ADPRH
ENSG00000138495.2	COX17
ENSG00000183833.12	MAATS1
ENSG00000082701.10	GSK3B
ENSG00000175697.6	GPR156
ENSG00000163428.3	LRRC58
ENSG00000051341.9	POLQ
ENSG00000180353.6	HCLS1
ENSG00000173226.12	IQCB1
ENSG00000163406.6	SLC15A2
ENSG00000145103.8	ILDR1
ENSG00000114023.11	FAM162A
ENSG00000196981.2	WDR5B
ENSG00000163840.5	DTX3L
ENSG00000173200.8	PARP15
ENSG00000173193.9	PARP14
ENSG00000169087.6	HSPBAP1
ENSG00000121542.7	SEC22A
ENSG00000206527.5	PTPLB
ENSG00000114491.9	UMPS
ENSG00000082781.7	ITGB5
ENSG00000189366.5	ALG1L
ENSG00000114547.5	ROPN1B
ENSG00000114544.11	SLC41A3
ENSG00000070476.10	ZXDC
ENSG00000180767.5	CHST13
ENSG00000197763.8	TXNRD3
ENSG00000114554.7	PLXNA1
ENSG00000163870.10	TPRA1
ENSG00000074416.9	MGLL
ENSG00000187715.9	KBTBD12
ENSG00000058262.5	SEC61A1
ENSG00000132394.6	EEFSEC
ENSG00000163902.7	RPN1
ENSG00000075785.8	RAB7A
ENSG00000177646.13	ACAD9
ENSG00000187695.6	RP11-723O4.6
ENSG00000114654.6	EFCC1
ENSG00000114656.6	KIAA1257
ENSG00000172771.7	EFCAB12
ENSG00000129071.5	MBD4
ENSG00000004399.8	PLXND1
ENSG00000196455.3	PIK3R4
ENSG00000017260.15	ATP2C1
ENSG00000114670.9	NEK11
ENSG00000034533.7	ASTE1
ENSG00000114686.4	MRPL3
ENSG00000138246.11	DNAJC13
ENSG00000113971.14	NPHP3
ENSG00000091513.10	TF
ENSG00000144867.7	SRPRB
ENSG00000154917.6	RAB6B
ENSG00000174640.8	SLCO2A1
ENSG00000163785.8	RYK
ENSG00000182923.12	CEP63
ENSG00000129055.8	ANAPC13
ENSG00000174564.8	IL20RB
ENSG00000158163.10	DZIP1L
ENSG00000118017.3	A4GNT
ENSG00000138231.8	DBR1
ENSG00000181322.9	NME9
ENSG00000158186.8	MRAS
ENSG00000051382.4	PIK3CB
ENSG00000114115.5	RBP1
ENSG00000163864.10	NMNAT3
ENSG00000158258.11	CLSTN2
ENSG00000114120.7	SLC25A36
ENSG00000177311.6	ZBTB38
ENSG00000114125.9	RNF7
ENSG00000114124.2	GRK7
ENSG00000175054.10	ATR
ENSG00000144935.10	TRPC1
ENSG00000163714.13	U2SURP
ENSG00000175040.4	CHST2
ENSG00000181744.4	C3orf58
ENSG00000152952.7	PLOD2
ENSG00000114698.10	PLSCR4
ENSG00000188313.8	PLSCR1
ENSG00000163751.3	CPA3
ENSG00000163754.13	GYG1
ENSG00000071794.11	HLTF
ENSG00000163755.4	HPS3
ENSG00000163762.2	TM4SF18
ENSG00000169903.6	TM4SF4
ENSG00000018408.10	WWTR1
ENSG00000114744.4	COMMD2
ENSG00000070087.9	PFN2
ENSG00000144895.7	EIF2A
ENSG00000198843.8	SELT
ENSG00000169313.9	P2RY12
ENSG00000152580.8	IGSF10
ENSG00000114771.9	AADAC
ENSG00000114790.8	ARHGEF26
ENSG00000169359.9	SLC33A1
ENSG00000169282.13	KCNAB1
ENSG00000163659.8	TIPARP
ENSG00000197980.7	LEKR1
ENSG00000197415.7	VEPH1
ENSG00000168779.15	SHOX2
ENSG00000174891.8	RSRC1
ENSG00000178053.13	MLF1
ENSG00000168827.10	GFM1
ENSG00000118855.14	MFSD1
ENSG00000168811.2	IL12A
ENSG00000068885.10	IFT80
ENSG00000169251.8	NMD3
ENSG00000196542.4	SPTSSB
ENSG00000114200.5	BCHE
ENSG00000163536.8	SERPINI1
ENSG00000173905.4	GOLIM4
ENSG00000171757.11	LRRC34
ENSG00000008952.12	SEC62
ENSG00000173889.11	PHC3
ENSG00000013297.6	CLDN11
ENSG00000183657.2	PP13439
ENSG00000075651.11	PLD1
ENSG00000075420.8	FNDC3B
ENSG00000169760.13	NLGN1
ENSG00000177694.10	NAALADL2
ENSG00000177565.11	TBL1XR1
ENSG00000121864.5	ZNF639
ENSG00000171109.14	MFN1
ENSG00000114450.5	GNB4
ENSG00000136518.12	ACTL6A
ENSG00000136522.9	MRPL47
ENSG00000163728.6	TTC14
ENSG00000145075.7	CCDC39
ENSG00000058063.11	ATP11B
ENSG00000043093.9	DCUN1D1
ENSG00000078070.7	MCCC1
ENSG00000176597.7	B3GNT5
ENSG00000053524.7	MCF2L2
ENSG00000114796.11	KLHL24
ENSG00000163872.11	YEATS2
ENSG00000180834.3	MAP6D1
ENSG00000114770.12	ABCC5
ENSG00000161202.13	DVL3
ENSG00000161203.9	AP2M1
ENSG00000161204.7	ABCF3
ENSG00000175166.12	PSMD2
ENSG00000175182.9	FAM131A
ENSG00000114859.10	CLCN2
ENSG00000163882.5	POLR2H
ENSG00000177383.3	MAGEF1
ENSG00000156931.11	VPS8
ENSG00000187068.2	C3orf70
ENSG00000073803.9	MAP3K13
ENSG00000058866.10	DGKG
ENSG00000090520.6	DNAJB11
ENSG00000163918.6	RFC4
ENSG00000181092.5	ADIPOQ
ENSG00000127241.12	MASP1
ENSG00000136514.2	RTP4
ENSG00000213132.2	AC022498.1
ENSG00000145012.8	LPP
ENSG00000073282.8	TP63
ENSG00000090530.5	LEPREL1
ENSG00000163347.5	CLDN1
ENSG00000152492.9	CCDC50
ENSG00000188958.5	UTS2B
ENSG00000114279.9	FGF12
ENSG00000180611.6	MB21D2
ENSG00000127252.4	HRASLS
ENSG00000172061.7	LRRC15
ENSG00000041802.6	LSG1
ENSG00000176945.12	MUC20
ENSG00000145113.17	MUC4
ENSG00000061938.12	TNK2
ENSG00000072274.8	TFRC
ENSG00000163959.5	SLC51A
ENSG00000213123.6	TCTEX1D2
ENSG00000145107.11	TM4SF19
ENSG00000163960.7	UBXN7
ENSG00000163961.4	RNF168
ENSG00000174004.5	NRROS
ENSG00000174007.7	CEP19
ENSG00000163964.9	PIGX
ENSG00000114503.6	NCBP2
ENSG00000119227.3	PIGZ
ENSG00000161267.7	BDH1
ENSG00000122068.8	FYTTD1
ENSG00000114473.9	IQCG
ENSG00000186777.7	ZNF732
ENSG00000182903.11	ZNF721
ENSG00000133256.8	PDE6B
ENSG00000169020.5	ATP5I
ENSG00000215375.2	MYL5
ENSG00000169026.8	MFSD7
ENSG00000185619.13	PCGF3
ENSG00000168993.10	CPLX1
ENSG00000178950.12	GAK
ENSG00000145214.9	DGKQ
ENSG00000127415.8	IDUA
ENSG00000145217.9	SLC26A1
ENSG00000127418.10	FGFRL1
ENSG00000178222.8	RNF212
ENSG00000090316.11	MAEA
ENSG00000163945.11	UVSSA
ENSG00000179979.7	CRIPAK
ENSG00000174137.8	FAM53A
ENSG00000168936.6	TMEM129
ENSG00000013810.14	TACC3
ENSG00000068078.13	FGFR3
ENSG00000185049.8	NELFA
ENSG00000159733.9	ZFYVE28
ENSG00000063978.11	RNF4
ENSG00000168884.10	TNIP2
ENSG00000087266.11	SH3BP2
ENSG00000125388.15	GRK4
ENSG00000132406.7	TMEM128
ENSG00000145220.9	LYAR
ENSG00000168826.11	ZBTB49
ENSG00000168824.10	NSG1
ENSG00000168818.5	STX18
ENSG00000082929.4	C4orf6
ENSG00000072840.8	EVC
ENSG00000072832.10	CRMP1
ENSG00000152969.12	JAKMIP1
ENSG00000013288.4	MAN2B2
ENSG00000109519.8	GRPEL1
ENSG00000163995.14	ABLIM2
ENSG00000155275.14	TRMT44
ENSG00000087008.11	ACOX3
ENSG00000155269.7	GPR78
ENSG00000109625.14	CPZ
ENSG00000109667.7	SLC2A9
ENSG00000109705.7	NKX3-2
ENSG00000004468.8	CD38
ENSG00000137441.7	FGFBP2
ENSG00000169762.12	TAPT1
ENSG00000169744.8	LDB2
ENSG00000151552.7	QDPR
ENSG00000118579.7	MED28
ENSG00000163257.6	DCAF16
ENSG00000163138.14	PACRGL
ENSG00000053900.6	ANAPC4
ENSG00000250317.4	SMIM20
ENSG00000091490.6	SEL1L3
ENSG00000109689.10	STIM2
ENSG00000169299.9	PGM2
ENSG00000196355.2	AC021860.1
ENSG00000174125.3	TLR1
ENSG00000197712.7	FAM114A1
ENSG00000121895.7	TMEM156
ENSG00000109790.12	KLHL5
ENSG00000157796.13	WDR19
ENSG00000134962.6	KLB
ENSG00000163682.11	RPL9
ENSG00000121897.9	LIAS
ENSG00000168421.8	RHOH
ENSG00000179299.12	NSUN7
ENSG00000182308.5	DCAF4L1
ENSG00000188848.11	BEND4
ENSG00000124406.12	ATP8A1
ENSG00000183783.6	KCTD8
ENSG00000151806.9	GUF1
ENSG00000163281.7	GNPDA2
ENSG00000151834.11	GABRA2
ENSG00000163288.9	GABRB1
ENSG00000145246.9	ATP10D
ENSG00000170448.7	NFXL1
ENSG00000163293.7	NIPAL1
ENSG00000198515.9	CNGA1
ENSG00000074966.6	TXK
ENSG00000109171.10	SLAIN2
ENSG00000145248.6	SLC10A4
ENSG00000109180.10	OCIAD1
ENSG00000109182.7	CWH43
ENSG00000188993.3	LRRC66
ENSG00000163071.6	SPATA18
ENSG00000226887.3	ERVMER34-1
ENSG00000072201.9	LNX1
ENSG00000157404.11	KIT
ENSG00000128039.6	SRD5A3
ENSG00000134851.8	TMEM165
ENSG00000134852.10	CLOCK
ENSG00000109265.8	KIAA1211
ENSG00000157426.9	AASDH
ENSG00000174780.11	SRP72
ENSG00000196503.2	ARL9
ENSG00000171476.17	HOPX
ENSG00000128040.6	SPINK2
ENSG00000084092.6	NOA1
ENSG00000047315.10	POLR2B
ENSG00000163453.7	IGFBP7
ENSG00000145241.6	CENPC
ENSG00000035720.3	STAP1
ENSG00000033178.8	UBA6
ENSG00000087128.5	TMPRSS11E
ENSG00000156096.8	UGT2B4
ENSG00000171195.6	MUC7
ENSG00000018189.8	RUFY3
ENSG00000173542.4	MOB1B
ENSG00000163631.12	ALB
ENSG00000169435.9	RASSF6
ENSG00000169429.6	IL8
ENSG00000163739.4	CXCL1
ENSG00000124882.3	EREG
ENSG00000109321.6	AREG
ENSG00000205595.3	AREGB
ENSG00000174808.7	BTC
ENSG00000163743.9	RCHY1
ENSG00000138757.10	G3BP2
ENSG00000156194.13	PPEF2
ENSG00000138744.10	NAAA
ENSG00000156219.12	ART3
ENSG00000138750.10	NUP54
ENSG00000138760.4	SCARB2
ENSG00000189157.9	FAM47E
ENSG00000163749.13	CCDC158
ENSG00000138767.8	CNOT6L
ENSG00000138772.8	ANXA3
ENSG00000156269.4	NAA11
ENSG00000163297.12	ANTXR2
ENSG00000152784.11	PRDM8
ENSG00000152785.6	BMP3
ENSG00000138669.5	PRKG2
ENSG00000145293.10	ENOPH1
ENSG00000145287.6	PLAC8
ENSG00000163322.9	FAM175A
ENSG00000163623.5	NKX6-1
ENSG00000163624.5	CDS1
ENSG00000163625.11	WDFY3
ENSG00000138639.13	ARHGAP24
ENSG00000170509.7	HSD17B13
ENSG00000198189.6	HSD17B11
ENSG00000152583.8	SPARCL1
ENSG00000029559.5	IBSP
ENSG00000118777.6	ABCG2
ENSG00000138641.11	HERC3
ENSG00000177432.6	NAP1L5
ENSG00000138640.10	FAM13A
ENSG00000138722.5	MMRN1
ENSG00000163110.10	PDLIM5
ENSG00000138696.6	BMPR1B
ENSG00000138698.10	RAP1GDS1
ENSG00000164024.7	METAP1
ENSG00000198099.4	ADH4
ENSG00000172955.13	ADH6
ENSG00000187758.3	ADH1A
ENSG00000196616.8	ADH1B
ENSG00000164031.12	DNAJB14
ENSG00000254531.1	AP001816.1
ENSG00000153064.7	BANK1
ENSG00000109332.15	UBE2D3
ENSG00000145354.5	CISD2
ENSG00000164039.10	BDH2
ENSG00000168772.9	CXXC4
ENSG00000138777.15	PPA2
ENSG00000138780.10	GSTCD
ENSG00000164022.12	AIMP1
ENSG00000138801.4	PAPSS1
ENSG00000155016.13	CYP2U1
ENSG00000109475.12	RPL34
ENSG00000198856.8	OSTC
ENSG00000188517.10	COL25A1
ENSG00000005059.11	CCDC109B
ENSG00000123739.6	PLA2G12A
ENSG00000205403.8	CFI
ENSG00000183423.7	LRIT3
ENSG00000174749.5	C4orf32
ENSG00000138660.7	AP1AR
ENSG00000073331.13	ALPK1
ENSG00000138658.11	C4orf21
ENSG00000174720.11	LARP7
ENSG00000150961.10	SEC24D
ENSG00000172403.6	SYNPO2
ENSG00000145390.7	USP53
ENSG00000164096.10	C4orf3
ENSG00000164109.9	MAD2L1
ENSG00000173376.9	NDNF
ENSG00000186867.6	QRFPR
ENSG00000164111.10	ANXA5
ENSG00000123737.8	EXOSC9
ENSG00000138688.11	KIAA1109
ENSG00000138685.8	FGF2
ENSG00000170917.9	NUDT6
ENSG00000151458.7	ANKRD50
ENSG00000164074.10	C4orf29
ENSG00000077684.11	PHF17
ENSG00000151470.8	C4orf33
ENSG00000254535.2	PABPC4L
ENSG00000189184.7	PCDH18
ENSG00000109390.7	NDUFC1
ENSG00000196782.8	MAML3
ENSG00000153132.8	CLGN
ENSG00000170153.6	RNF150
ENSG00000109445.6	ZNF330
ENSG00000109452.8	INPP4B
ENSG00000170185.5	USP38
ENSG00000153147.5	SMARCA5
ENSG00000197465.9	GYPE
ENSG00000164161.5	HHIP
ENSG00000164162.8	ANAPC10
ENSG00000170365.5	SMAD1
ENSG00000151612.11	ZNF827
ENSG00000164167.5	LSM6
ENSG00000250673.1	RP11-6L6.2
ENSG00000170390.10	DCLK2
ENSG00000145425.5	RPS3A
ENSG00000059691.7	PET112
ENSG00000164144.10	ARFIP1
ENSG00000109654.10	TRIM2
ENSG00000121210.11	KIAA0922
ENSG00000145423.4	SFRP2
ENSG00000197410.8	DCHS2
ENSG00000164114.14	MAP9
ENSG00000164116.12	GUCY1A3
ENSG00000151790.4	TDO2
ENSG00000256043.2	CTSO
ENSG00000164125.11	FAM198B
ENSG00000164124.6	TMEM144
ENSG00000171503.7	ETFDH
ENSG00000171497.4	PPID
ENSG00000145416.9	MARCH1
ENSG00000183439.5	TRIM61
ENSG00000109466.9	KLHL2
ENSG00000109472.9	CPE
ENSG00000137628.12	DDX60
ENSG00000129116.13	PALLD
ENSG00000181381.9	DDX60L
ENSG00000145439.7	CBR4
ENSG00000137601.11	NEK1
ENSG00000198948.7	MFAP3L
ENSG00000109576.9	AADAT
ENSG00000164118.8	CEP44
ENSG00000150627.11	WDR17
ENSG00000109674.3	NEIL3
ENSG00000038002.4	AGA
ENSG00000129187.10	DCTD
ENSG00000168538.11	TRAPPC11
ENSG00000164303.6	ENPP6
ENSG00000164305.13	CASP3
ENSG00000164306.6	PRIMPOL
ENSG00000151725.7	MLF1IP
ENSG00000164323.8	KIAA1430
ENSG00000109771.11	LRP2BP
ENSG00000109775.6	UFSP2
ENSG00000154553.9	PDLIM3
ENSG00000164342.8	TLR3
